cluster,query,expected_bm_page,bm_position,bm_url,top10_aggregator,top10_contractor,top10_media,top10_retail,top10_gov,top_nonagg_domain,top_nonagg_url,top_nonagg_type,top_nonagg_pos,serp_features
sierpleister,spachtelputz buitengevel,/sierpleister/,,,1,8,1,0,0,www.casius.nl,https://www.casius.nl/stucen/buitenmuur-stuc/spachtelputz-gevel,contractor,1,images|people_also_ask|people_also_search|popular_products|related_searches|video
sierpleister,spachtelputz prijs,/sierpleister/,,,3,6,1,0,0,zoofy.nl,https://zoofy.nl/prijsgidsen/spachtelputz-prijzen/,contractor,4,ai_overview|images|people_also_ask|people_also_search|related_searches
muren_stucen,behangklaar stucen,/muren-stucen/,38,https://bm-klus-bv.nl/muren-stucen/,1,9,0,0,0,zoofy.nl,https://zoofy.nl/prijsgidsen/kosten-behangklaar-stucen/,contractor,2,ai_overview|images|people_also_ask|related_searches
muren_stucen,muren stucen,/muren-stucen/,,,2,5,0,3,0,www.stucadoor-expert.nl,https://www.stucadoor-expert.nl/kosten-stucadoor/stucen/,contractor,10,ai_overview|images|people_also_ask|people_also_search|related_searches|short_videos|video
muren_stucen,muren stucen prijs,/muren-stucen/,,,3,7,0,0,0,www.stuc-concurrent.nl,https://www.stuc-concurrent.nl/kosten-stucadoor/,contractor,4,ai_overview|people_also_ask|related_searches
muren_stucen,muur stucen,/muren-stucen/,,,2,4,1,3,0,www.hubo.nl,https://www.hubo.nl/blogs/verbouwen/zelf-een-muurtje-stucen-stap-voor-stap-aan-de-slag-met-stukadoren?srsltid=AfmBOooCjLUXyoE-H1nU6UiBlk1Zlc4eBiknqL3QZLj4XOgcUv4IDZka,contractor,10,ai_overview|images|people_also_ask|people_also_search|related_searches|short_videos|video
muren_stucen,sausklaar stucen,/muren-stucen/,24,https://bm-klus-bv.nl/muren-stucen/,1,9,0,0,0,www.noa.nl,https://www.noa.nl/nl/kennisbank/stop-met-gebruik-van-term-sausklaar/,contractor,2,ai_overview|images|people_also_ask|people_also_search|related_searches|video
muren_stucen,stucwerk binnen,/muren-stucen/,,,1,7,0,2,0,www.stuc-gigant.nl,https://www.stuc-gigant.nl/binnen/,contractor,1,images|people_also_ask|people_also_search|popular_products|related_searches|video
gevel_schilderen,buitengevel schilderen,/gevel-schilderen/,,,1,6,1,2,0,colora.nl,https://colora.nl/stappenplannen/buitenmuur-uit-baksteen-schilderen,contractor,4,ai_overview|images|people_also_ask|people_also_search|related_searches|video
gevel_schilderen,buitenmuur schilderen,/gevel-schilderen/,,,0,4,2,4,0,www.gevelrenovatie-info.nl,https://www.gevelrenovatie-info.nl/buitenmuur-verven,media_costguide,5,ai_overview|images|people_also_ask|related_searches|short_videos|video
gevel_schilderen,gevel keimen,/gevel-schilderen/,,,1,8,1,0,0,www.verfwinkel.nl,https://www.verfwinkel.nl/blog/keimen-van-de-gevel-welke-verf-gebruik-je/,contractor,2,ai_overview|images|people_also_ask|people_also_search|related_searches
gevel_schilderen,gevel schilderen,/gevel-schilderen/,,,2,4,2,2,0,www.gevelrenovatie-info.nl,https://www.gevelrenovatie-info.nl/gevel-schilderen,media_costguide,1,images|people_also_ask|people_also_search|related_searches|video
gevel_schilderen,gevel schilderen kosten,/gevel-schilderen/,25,https://bm-klus-bv.nl/gevel-schilderen/,2,6,2,0,0,www.gevelrenovatie-info.nl,https://www.gevelrenovatie-info.nl/gevel-schilderen,media_costguide,4,ai_overview|images|people_also_ask|related_searches
gevel_schilderen,keimen gevel kosten,/gevel-schilderen/,,,2,7,1,0,0,www.gevelrenovatie-info.nl,https://www.gevelrenovatie-info.nl/gevel-keimen,media_costguide,4,ai_overview|images|people_also_ask|related_searches
