normalized_keyword,keyword_text_raw,topic_theme_guess,intent_guess,language_guess,country_guess,brand_nonbrand_guess,in_planner_ideas,in_historical_metrics,in_ads_keywords,in_ads_search_terms,in_action_candidates,in_gsc_queries,planner_avg_monthly_searches,planner_competition,planner_competition_index,planner_low_bid_eur,planner_high_bid_eur,historical_avg_monthly_searches,historical_competition,historical_competition_index,historical_low_bid_eur,historical_high_bid_eur,historical_intent_score,ads_keyword_impressions,ads_keyword_clicks,ads_keyword_cost_eur,ads_keyword_conversions,ads_keyword_match_types,ads_keyword_ad_groups,ads_keyword_statuses,ads_search_term_impressions,ads_search_term_clicks,ads_search_term_cost_eur,ads_search_term_conversions,ads_search_term_ad_groups,action_candidate_decision,action_candidate_reason,negative_watch_guess,gsc_total_clicks,gsc_total_impressions,gsc_weighted_ctr,gsc_best_position_guess,gsc_distinct_pages_count,gsc_possible_cannibalization_guess,gsc_top_page_guess,gsc_top_page_clicks,gsc_top_page_impressions,gsc_top_page_route_guess,gsc_top_page_type_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,mapping_notes,seo_priority_guess,seo_opportunity_type,seo_opportunity_reason,ppc_seo_overlap_guess,ppc_seo_notes,ads_priority_guess,keep_review_pause_guess,notes
badkamer schoonmaken na verbouwing,badkamer schoonmaken na verbouwing,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0.0,71.25,1,False,https://bm-klus-bv.nl/schoonmaak-na-verbouwing/,0,4,/schoonmaak-na-verbouwing/,service,/schoonmaak-na-verbouwing/,service,medium,"from GSC top page (0 clicks, 4 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
bakstenen muur isoleren,bakstenen muur isoleren,other,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,98,1.020317,6.021049,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,none,,in_planner_only,"planner demand only, no ads or organic",,,
bakstenen muur stucen,bakstenen muur stucen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,3.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
bbouw,bbouw,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,8.0,1,False,https://bm-klus-bv.nl/,0,1,/,home,/,home,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
beamix cementgebonden stucmortel,beamix cementgebonden stucmortel,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,4.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
behangklaar en sausklaar,behangklaar en sausklaar,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,0.0,25.36,1,False,https://bm-klus-bv.nl/muren-stucen/,0,14,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 14 impr)",low,weak_signal,"14 impr, pos 25.4",in_gsc_only,"organic only, no ads presence",,,
behangklaar muren,behangklaar muren,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,58.0,1,False,https://bm-klus-bv.nl/muren-stucen/,0,3,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 3 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
behangklaar muur nieuwbouw,behangklaar muur nieuwbouw,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,59.0,1,False,https://bm-klus-bv.nl/muren-stucen/,0,1,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
behangklaar naar sausklaar,behangklaar naar sausklaar,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0.0,24.25,1,False,https://bm-klus-bv.nl/muren-stucen/,0,4,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 4 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
behangklaar of sausklaar,behangklaar of sausklaar,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,0.0,31.88,1,False,https://bm-klus-bv.nl/muren-stucen/,0,17,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 17 impr)",low,weak_signal,"17 impr, pos 31.9",in_gsc_only,"organic only, no ads presence",,,
