query,normalized_query,page,clicks,impressions,ctr,position,query_intent_guess,query_theme_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,notes
stuc buitenmuur,stuc buitenmuur,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,3.5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stuc voor buiten,stuc voor buiten,https://bm-klus-bv.nl/buiten-stucwerk/,0,6,0,26.67,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stuc voor buitenmuur,stuc voor buitenmuur,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,2.5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucen behangklaar,stucen behangklaar,https://bm-klus-bv.nl/muren-stucen/,0,29,0,24.55,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
stucen buitengevel,stucen buitengevel,https://bm-klus-bv.nl/buiten-stucwerk/,0,5,0,39.4,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucen buitenmuur,stucen buitenmuur,https://bm-klus-bv.nl/buiten-stucwerk/,0,12,0,14.25,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucen buitenmuur kosten,stucen buitenmuur kosten,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,10,commercial,prijs_kosten,/buiten-stucwerk/,service,high,
stucen gevel,stucen gevel,https://bm-klus-bv.nl/buiten-stucwerk/,0,39,0,16.33,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucen muren,stucen muren,https://bm-klus-bv.nl/,0,5,0,94.8,commercial_investigative,stuc_crepi,/,home,high,
stucen muren,stucen muren,https://bm-klus-bv.nl/muren-stucen-2/,0,4,0,84.5,commercial_investigative,stuc_crepi,/muren-stucen-2/,,low,
stucen rotterdam,stucen rotterdam,https://bm-klus-bv.nl/,0,19,0,87.79,commercial_investigative,stuc_crepi,/,home,high,
stucen rotterdam,stucen rotterdam,https://bm-klus-bv.nl/muren-stucen-2/,0,8,0,79,commercial_investigative,stuc_crepi,/muren-stucen-2/,,low,
stucen rotterdam,stucen rotterdam,https://bm-klus-bv.nl/muren-stucen/,0,20,0,19.9,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
stucen van muren,stucen van muren,https://bm-klus-bv.nl/muren-stucen-2/,0,2,0,62.5,commercial_investigative,stuc_crepi,/muren-stucen-2/,,low,
stuck werk,stuck werk,https://bm-klus-bv.nl/,0,1,0,11,commercial_investigative,stuc_crepi,/,home,high,
stucmortel,stucmortel,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,2,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucmortel buiten,stucmortel buiten,https://bm-klus-bv.nl/buiten-stucwerk/,0,3,0,16.33,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucmortel voor buiten,stucmortel voor buiten,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,12.5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucplaat buitengevel,stucplaat buitengevel,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,2,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucplaten voor buiten,stucplaten voor buiten,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,2,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk behangklaar,stucwerk behangklaar,https://bm-klus-bv.nl/muren-stucen/,0,2,0,38.5,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
stucwerk binnen,stucwerk binnen,https://bm-klus-bv.nl/muren-stucen/,0,1,0,11,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
stucwerk buiten,stucwerk buiten,https://bm-klus-bv.nl/buiten-stucwerk/,0,28,0,39.68,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk buiten repareren,stucwerk buiten repareren,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,40,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk buitengevel,stucwerk buitengevel,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,88,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk buitengevels,stucwerk buitengevels,https://bm-klus-bv.nl/buiten-stucwerk/,0,46,0,42.83,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk buitenmuur,stucwerk buitenmuur,https://bm-klus-bv.nl/buiten-stucwerk/,0,6,0,34.5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk buitenmuur repareren,stucwerk buitenmuur repareren,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,3,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk gevel,stucwerk gevel,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,1,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk gevels,stucwerk gevels,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,18.5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk gevels,stucwerk gevels,https://bm-klus-bv.nl/sierpleister/,0,4,0,79,commercial_investigative,stuc_crepi,/sierpleister/,service,high,
stucwerk op isolatie detail,stucwerk op isolatie detail,https://bm-klus-bv.nl/buiten-stucwerk/,0,10,0,4.1,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk rotterdam,stucwerk rotterdam,https://bm-klus-bv.nl/muren-stucen/,0,1,0,23,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
stucwerk sausklaar,stucwerk sausklaar,https://bm-klus-bv.nl/muren-stucen/,0,29,0,43.45,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
stucwerk verwijderen baksteen,stucwerk verwijderen baksteen,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,3,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk voor buiten,stucwerk voor buiten,https://bm-klus-bv.nl/buiten-stucwerk/,0,7,0,62.29,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stucwerk zuid holland,stucwerk zuid holland,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,86,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
stukadoor buitengevel,stukadoor buitengevel,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,2.5,commercial_investigative,core_isolation,/buiten-stucwerk/,service,high,
stukadoors rotterdam,stukadoors rotterdam,https://bm-klus-bv.nl/,0,1,0,4,commercial_investigative,other,/,home,high,
stukadoorsbedrijf klus,stukadoorsbedrijf klus,https://bm-klus-bv.nl/over_ons/,0,19,0,88.16,commercial_investigative,other,/over_ons/,,low,
stukadoorsbedrijf rotterdam,stukadoorsbedrijf rotterdam,https://bm-klus-bv.nl/,0,1,0,8,commercial_investigative,other,/,home,high,
stukadoorsbedrijf zuid-holland,stukadoorsbedrijf zuid-holland,https://bm-klus-bv.nl/buiten-stucwerk/,0,8,0,98,commercial_investigative,other,/buiten-stucwerk/,service,high,
tuinmuur stucen,tuinmuur stucen,https://bm-klus-bv.nl/buiten-stucwerk/,0,3,0,2.33,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
tuinmuurtje stucen,tuinmuurtje stucen,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,4,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
van behangklaar naar sausklaar,van behangklaar naar sausklaar,https://bm-klus-bv.nl/muren-stucen/,0,3,0,24.33,commercial_investigative,other,/muren-stucen/,service,high,
van behangklaar naar sausklaar kosten,van behangklaar naar sausklaar kosten,https://bm-klus-bv.nl/muren-stucen/,0,17,0,14.76,commercial,prijs_kosten,/muren-stucen/,service,high,
verbouw schoonmaak,verbouw schoonmaak,https://bm-klus-bv.nl/schoonmaak-na-verbouwing/,0,59,0,19.37,commercial_investigative,other,/schoonmaak-na-verbouwing/,service,high,
verbouwing schoonmaak,verbouwing schoonmaak,https://bm-klus-bv.nl/schoonmaak-na-verbouwing/,0,117,0,33.19,commercial_investigative,other,/schoonmaak-na-verbouwing/,service,high,
verbouwing woning,verbouwing woning,https://bm-klus-bv.nl/,0,1,0,1,commercial_investigative,other,/,home,high,
vergunning gevelisolatie,vergunning gevelisolatie,https://bm-klus-bv.nl/gevelisolatie/subsidie-vergunning/,0,1,0,1,commercial_investigative,subsidie_vergunning,/gevelisolatie/subsidie-vergunning/,cluster,high,
verschil behangklaar en sausklaar,verschil behangklaar en sausklaar,https://bm-klus-bv.nl/muren-stucen/,0,10,0,19.5,informational,other,/muren-stucen/,service,high,
vochtbestrijding rotterdam,vochtbestrijding rotterdam,https://bm-klus-bv.nl/,0,1,0,31,commercial_investigative,other,/,home,high,
vochtproblemen rotterdam,vochtproblemen rotterdam,https://bm-klus-bv.nl/,0,24,0,26.79,commercial_investigative,other,/,home,high,
wand schilderen zuid-holland,wand schilderen zuid-holland,https://bm-klus-bv.nl/diensten/,0,10,0,15,commercial_investigative,stuc_crepi,/diensten/,service,high,
wand schilderen zuid-holland,wand schilderen zuid-holland,https://bm-klus-bv.nl/gevel-schilderen/,0,2,0,48.5,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
wanden behangklaar,wanden behangklaar,https://bm-klus-bv.nl/muren-stucen/,0,9,0,63.56,commercial_investigative,other,/muren-stucen/,service,high,
wanden sausklaar maken,wanden sausklaar maken,https://bm-klus-bv.nl/muren-stucen/,0,7,0,30.71,commercial_investigative,other,/muren-stucen/,service,high,
wanden stucen,wanden stucen,https://bm-klus-bv.nl/muren-stucen/,0,1,0,45,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
wapeningsmat,wapeningsmat,https://bm-klus-bv.nl/sierpleister/,0,1,0,61,commercial_investigative,other,/sierpleister/,service,high,
wat betekent sausklaar,wat betekent sausklaar,https://bm-klus-bv.nl/muren-stucen/,0,3,0,3,commercial_investigative,other,/muren-stucen/,service,high,
wat betekent sausklaar opleveren,wat betekent sausklaar opleveren,https://bm-klus-bv.nl/muren-stucen/,0,3,0,1,commercial_investigative,other,/muren-stucen/,service,high,
wat is etics,wat is etics,https://bm-klus-bv.nl/gevelisolatie/,0,3,0,6.67,informational,core_isolation,/gevelisolatie/,service,high,
wat is sausklaar,wat is sausklaar,https://bm-klus-bv.nl/muren-stucen/,0,1,0,3,informational,other,/muren-stucen/,service,high,
wat is sausklaar opleveren,wat is sausklaar opleveren,https://bm-klus-bv.nl/muren-stucen/,0,1,0,1,informational,other,/muren-stucen/,service,high,
wat kost buitenmuur stucen,wat kost buitenmuur stucen,https://bm-klus-bv.nl/buiten-stucwerk/,0,36,0,19.33,commercial,prijs_kosten,/buiten-stucwerk/,service,high,
wat kost gevel isolatie,wat kost gevel isolatie,https://bm-klus-bv.nl/gevelisolatie/kosten/,0,5,0,11.6,commercial,prijs_kosten,/gevelisolatie/kosten/,cluster,high,
wat kost gevelisolatie,wat kost gevelisolatie,https://bm-klus-bv.nl/gevelisolatie/,0,1,0,73,commercial,prijs_kosten,/gevelisolatie/,service,high,
wat kost gevelisolatie,wat kost gevelisolatie,https://bm-klus-bv.nl/gevelisolatie/kosten/,0,4,0,20.75,commercial,prijs_kosten,/gevelisolatie/kosten/,cluster,high,
waterdichte sierpleister,waterdichte sierpleister,https://bm-klus-bv.nl/gevelisolatie/afwerkingen/,0,1,0,18,commercial_investigative,stuc_crepi,/gevelisolatie/afwerkingen/,cluster,high,
weber buitenstuc,weber buitenstuc,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
welke kleur is dit,welke kleur is dit,https://bm-klus-bv.nl/gevelisolatie/afwerkingen/,0,1,0,1,commercial_investigative,other,/gevelisolatie/afwerkingen/,cluster,high,
welke soorten stucwerk zijn geschikt voor moderne interieurstijlen?,welke soorten stucwerk zijn geschikt voor moderne interieurstijlen?,https://bm-klus-bv.nl/images/muren-stucen-voordelen.webp,0,1,0,12,commercial_investigative,stuc_crepi,/images/muren-stucen-voordelen.webp/,,low,
welke soorten stucwerk zijn geschikt voor moderne interieurstijlen?,welke soorten stucwerk zijn geschikt voor moderne interieurstijlen?,https://bm-klus-bv.nl/muren-stucen/,0,1,0,12,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
werken bij site:bm-klus-bv.nl,werken bij site:bm-klus-bv.nl,https://bm-klus-bv.nl/,0,6,0,1,navigational,other,/,home,high,
werken bij site:bm-klus-bv.nl,werken bij site:bm-klus-bv.nl,https://bm-klus-bv.nl/buiten-stucwerk/,0,6,0,3.5,navigational,other,/buiten-stucwerk/,service,high,
werken bij site:bm-klus-bv.nl,werken bij site:bm-klus-bv.nl,https://bm-klus-bv.nl/gevel-schilderen/,0,6,0,6.5,navigational,other,/gevel-schilderen/,service,high,
werken bij site:bm-klus-bv.nl,werken bij site:bm-klus-bv.nl,https://bm-klus-bv.nl/gevelisolatie/,0,6,0,3.5,navigational,other,/gevelisolatie/,service,high,
werken bij site:bm-klus-bv.nl,werken bij site:bm-klus-bv.nl,https://bm-klus-bv.nl/muren-stucen-2/,0,6,0,2,navigational,other,/muren-stucen-2/,,low,
werken bij site:bm-klus-bv.nl,werken bij site:bm-klus-bv.nl,https://bm-klus-bv.nl/schoonmaak-na-verbouwing/,0,6,0,5.83,navigational,other,/schoonmaak-na-verbouwing/,service,high,
werken bij site:bm-klus-bv.nl,werken bij site:bm-klus-bv.nl,https://bm-klus-bv.nl/sierpleister/,0,6,0,5.67,navigational,other,/sierpleister/,service,high,
zelf buitenmuur stucen,zelf buitenmuur stucen,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,4,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
строительная фирма,строительная фирма,https://bm-klus-bv.nl/,0,1,0,1,commercial_investigative,other,/,home,high,
