query,normalized_query,page,clicks,impressions,ctr,position,query_intent_guess,query_theme_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,notes
duurzaam stucwerk expert,duurzaam stucwerk expert,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,82,commercial_investigative,prijs_kosten,/buiten-stucwerk/,service,high,
een buitenmuur stucen,een buitenmuur stucen,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,17.5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
eps etics,eps etics,https://bm-klus-bv.nl/gevelisolatie/,0,1,0,10,commercial_investigative,materialen,/gevelisolatie/,service,high,
eps isolatie steenstrips,eps isolatie steenstrips,https://bm-klus-bv.nl/gevelisolatie/,0,4,0,88.25,commercial_investigative,materialen,/gevelisolatie/,service,high,
etics,etics,https://bm-klus-bv.nl/gevelisolatie/,0,45,0,6.67,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
etics betekenis,etics betekenis,https://bm-klus-bv.nl/gevelisolatie/,0,9,0,3.33,informational,core_isolation,/gevelisolatie/,service,high,
etics details,etics details,https://bm-klus-bv.nl/gevelisolatie/,0,2,0,10,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
etics gevel,etics gevel,https://bm-klus-bv.nl/gevelisolatie/,0,6,0,2,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
etics-systeem,etics-systeem,https://bm-klus-bv.nl/gevelisolatie/,0,4,0,10,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
etivs,etivs,https://bm-klus-bv.nl/gevelisolatie/,0,1,0,6,commercial_investigative,other,/gevelisolatie/,service,high,
facade repair,facade repair,https://bm-klus-bv.nl/,0,1,0,3,commercial_investigative,other,/,home,high,
fascia repair,fascia repair,https://bm-klus-bv.nl/,0,2,0,4,commercial_investigative,other,/,home,high,
fotos,fotos,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,2,commercial_investigative,other,/buiten-stucwerk/,service,high,
fotos,fotos,https://bm-klus-bv.nl/images/projects/halsteren-buitenstucwerk-na-01.webp,0,1,0,2,commercial_investigative,other,/images/projects/halsteren-buitenstucwerk-na-01.webp/,,low,
gestuct huis,gestuct huis,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,13,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gestucte buitenmuur schoonmaken,gestucte buitenmuur schoonmaken,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,3,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gestucte buitenmuur verven,gestucte buitenmuur verven,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,3,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gestucte tuinmuur,gestucte tuinmuur,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,2,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gestucte tuinmuur maken,gestucte tuinmuur maken,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,2,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gevel aannemer,gevel aannemer,https://bm-klus-bv.nl/,0,1,0,2,commercial_investigative,other,/,home,high,
gevel coating rotterdam,gevel coating rotterdam,https://bm-klus-bv.nl/,0,1,0,16,commercial_investigative,other,/,home,high,
gevel isolatie kosten,gevel isolatie kosten,https://bm-klus-bv.nl/gevelisolatie/kosten/,0,1,0,15,commercial,prijs_kosten,/gevelisolatie/kosten/,cluster,high,
gevel isolatie prijs,gevel isolatie prijs,https://bm-klus-bv.nl/gevelisolatie/,0,2,0,16,commercial,prijs_kosten,/gevelisolatie/,service,high,
gevel isoleren en stucen,gevel isoleren en stucen,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,50,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gevel isoleren en stucen,gevel isoleren en stucen,https://bm-klus-bv.nl/gevelisolatie/,0,1,0,95,commercial_investigative,stuc_crepi,/gevelisolatie/,service,high,
gevel keimen of schilderen,gevel keimen of schilderen,https://bm-klus-bv.nl/gevel-schilderen/,0,4,0,62.75,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel laten schilderen,gevel laten schilderen,https://bm-klus-bv.nl/gevel-schilderen/,0,71,0,49.13,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel laten stucen,gevel laten stucen,https://bm-klus-bv.nl/buiten-stucwerk/,0,5,0,61.8,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gevel laten verven,gevel laten verven,https://bm-klus-bv.nl/gevel-schilderen/,0,2,0,12.5,commercial_investigative,other,/gevel-schilderen/,service,high,
gevel renovatie rotterdam,gevel renovatie rotterdam,https://bm-klus-bv.nl/,0,28,0,87.75,commercial_investigative,other,/,home,high,
gevel schilder,gevel schilder,https://bm-klus-bv.nl/,0,5,0,45.4,commercial_investigative,stuc_crepi,/,home,high,
gevel schilder,gevel schilder,https://bm-klus-bv.nl/gevel-schilderen/,0,89,0,36.87,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel schilderen,gevel schilderen,https://bm-klus-bv.nl/gevel-schilderen/,0,40,0,51.27,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel schilderen de zilk,gevel schilderen de zilk,https://bm-klus-bv.nl/gevel-schilderen/,0,17,0,16.24,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
