normalized_keyword,keyword_text_raw,topic_theme_guess,intent_guess,language_guess,country_guess,in_planner_ideas,in_historical_metrics,in_ads_keywords,in_ads_search_terms,in_action_candidates,planner_avg_monthly_searches,planner_competition,planner_competition_index,planner_low_bid_eur,planner_high_bid_eur,historical_avg_monthly_searches,historical_competition,historical_competition_index,historical_low_bid_eur,historical_high_bid_eur,historical_intent_score,ads_keyword_impressions,ads_keyword_clicks,ads_keyword_cost_eur,ads_keyword_conversions,ads_keyword_match_types,ads_keyword_ad_groups,ads_keyword_statuses,ads_search_term_impressions,ads_search_term_clicks,ads_search_term_cost_eur,ads_search_term_conversions,ads_search_term_ad_groups,action_candidate_decision,action_candidate_reason,negative_watch_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,mapping_notes,seo_priority_guess,ads_priority_guess,keep_review_pause_guess,notes
muurisolatie buitenzijde,muurisolatie buitenzijde,core_isolation,commercial_investigative,nl,NL,False,False,True,False,True,,,,,,,,,,,,0,0,0.0,0.0,"EXACT,PHRASE","Gevelisolatie - Core,Gevelisolatie - Materialen","ENABLED,PAUSED",,,,,,cleanup,enabled but 0 impressions,False,/gevelisolatie/,service,low,broad gevelisolatie term,,low,cleanup,
muurisolatie buitenzijde details,muurisolatie buitenzijde details,core_isolation,commercial_investigative,nl,NL,False,False,True,False,True,,,,,,,,,,,,0,0,0.0,0.0,"PHRASE,EXACT",Gevelisolatie - Technisch,ENABLED,,,,,,cleanup,enabled but 0 impressions,False,/gevelisolatie/,service,low,broad gevelisolatie term,,low,cleanup,
na isolatie buitengevel,na isolatie buitengevel,core_isolation,commercial_investigative,nl,NL,False,False,False,True,False,,,,,,,,,,,,,,,,,,,3,0,0.0,0.0,"Gevelisolatie - Core,Gevelisolatie - Afwerking",,,False,,,,,,,,
na isolatie buitenmuur,na isolatie buitenmuur,other,commercial_investigative,nl,NL,True,False,False,False,False,30,HIGH,95,0.706224,2.241674,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
na isoleren buitengevel,na isoleren buitengevel,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,50,HIGH,99,0.67234,2.082015,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
na isoleren buitenmuur,na isoleren buitenmuur,other,commercial_investigative,nl,NL,True,False,False,False,False,30,HIGH,95,0.706224,2.241674,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
na isoleren gevel buitenkant,na isoleren gevel buitenkant,other,commercial_investigative,nl,NL,False,False,False,True,False,,,,,,,,,,,,,,,,,,,2,0,0.0,0.0,"Gevelisolatie - Core,Gevelisolatie - Afwerking",,,False,,,,,,,,
na isoleren van bestaande buitenmuren,na isoleren van bestaande buitenmuren,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
natte buitenmuur na isolatie,natte buitenmuur na isolatie,other,commercial_investigative,nl,NL,True,False,False,False,False,10,LOW,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
naturoll 037 90mm,naturoll 037 90mm,other,commercial_investigative,nl,NL,True,False,False,False,False,30,HIGH,100,0.384627,1.885826,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
neopor gevelisolatie,neopor gevelisolatie,materialen,commercial_investigative,nl,NL,True,False,False,False,False,40,HIGH,100,0.504938,1.67411,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,low,,,
neopor wdv 032 gevelisolatie,neopor wdv 032 gevelisolatie,materialen,commercial_investigative,nl,NL,False,False,False,True,False,,,,,,,,,,,,,,,,,,,2,0,0.0,0.0,Gevelisolatie - Core,,,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,,,,
